alias,popularName,littera,objectId,stateText,hasSuperDevice,mountedIn
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-4/multi-state-input_26,AHU-J2-4 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,6cd06ece-48de-4610-8bfa-9b57f6fe3355,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-4/multi-state-input_27,AHU-J2-4 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,6cd06ece-48de-4610-8bfa-9b57f6fe3355,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-3/multi-state-input_25,AHU-J1-3 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,9fddfa82-2403-4ac3-84a2-d7fed64d0399,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-3/multi-state-input_26,AHU-J1-3 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,9fddfa82-2403-4ac3-84a2-d7fed64d0399,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J1-3/multi-state-input_27,AHU-J1-3 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,9fddfa82-2403-4ac3-84a2-d7fed64d0399,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-3/multi-state-input_25,AHU-J2-3 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,b8f6a776-fac9-4b37-891a-23ea18705f20,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-3/multi-state-input_26,AHU-J2-3 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,b8f6a776-fac9-4b37-891a-23ea18705f20,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-3/multi-state-input_27,AHU-J2-3 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,b8f6a776-fac9-4b37-891a-23ea18705f20,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU%20J1-2/multi-state-input_25,AHU J1-2 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,c52a28dd-8a5b-4c22-93c1-f1b1bac100ad,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU%20J1-2/multi-state-input_26,AHU J1-2 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,c52a28dd-8a5b-4c22-93c1-f1b1bac100ad,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU%20J1-2/multi-state-input_27,AHU J1-2 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,c52a28dd-8a5b-4c22-93c1-f1b1bac100ad,45110f4c-8f96-4152-aa8e-635d961a5dcb
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-2/multi-state-input_25,AHU-J2-2 Cool Output 1,Cool Output 1,multi-state-input 25,Off;On;Not Present,04586eee-1ebd-4e49-a117-a8d9db894a6b,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-2/multi-state-input_26,AHU-J2-2 Cool Output 2,Cool Output 2,multi-state-input 26,Off;On;Not Present,04586eee-1ebd-4e49-a117-a8d9db894a6b,5b64b08c-858c-495b-8872-04131d4bd263
https://ns.proptechos.com/bacnet/summerlin/AHU-J2-2/multi-state-input_27,AHU-J2-2 Cool Output 3,Cool Output 3,multi-state-input 27,Off;On;Not Present,04586eee-1ebd-4e49-a117-a8d9db894a6b,5b64b08c-858c-495b-8872-04131d4bd263
