action,building,building_uuid,vbc_name,vbc_scope,tags_net_new,tags_already_live,devices,existing_mount_uuids,storey_uuid,placement_confidence,placement_source
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 420,suite,184,16,4,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:200,ebo-4thflr-plan-2026-07-05:200
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 400,suite,184,16,4,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:200,ebo-4thflr-plan-2026-07-05:200
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 430,suite,184,16,4,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:200,ebo-4thflr-plan-2026-07-05:200
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 470,suite,138,12,3,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:150,ebo-4thflr-plan-2026-07-05:150
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 425,suite,138,12,3,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,"medium:100,low:50",ebo-4thflr-plan-2026-07-05:150
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 03,storey,129,7,4,4828ae20-1a19-41a3-8b9e-f6e3609fc8d2,acf5861a-1021-4136-960a-c576b264729b,high:136,connector_twinid:136
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 05,storey,120,9,3,421f83c8-4f47-4e42-9663-a8d3eb5c8fbc,c7c95c1c-f210-4cbe-a88a-7c1829b120e8,high:129,connector_twinid:129
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 410,suite,92,8,2,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:100,ebo-4thflr-plan-2026-07-05:100
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 460,suite,92,8,2,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:100,ebo-4thflr-plan-2026-07-05:100
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 440,suite,92,8,2,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:100,ebo-4thflr-plan-2026-07-05:100
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 04,storey,74,5,2,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,high:79,connector_twinid:79
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 08,storey,47,4,1,20eba8db-17da-4588-b415-5e016bdfd681,c69378cc-3323-4d88-b1b8-6d3c3fbf2a2c,high:51,connector_twinid:51
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 07,storey,47,4,1,c6a90682-3328-4fdd-8624-6fe947b80a33,4a301d69-7caa-4846-851d-8bc46d394bb0,high:51,connector_twinid:51
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,LEVEL 06,storey,47,4,1,d58bab6d-1bb9-4a8f-bda2-ecdecc65d310,d80224b6-efd2-46de-9479-718f526abdbb,high:51,connector_twinid:51
UPDATE (mount exists),One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 435,suite,46,4,1,24d5409c-3053-4306-97b6-d06c84590117,50896040-c08a-4126-b8d0-8749cee078af,medium:50,ebo-4thflr-plan-2026-07-05:50
