change,device,instance,objectId,objectName,current_batch,current_poll_s,new_poll_s
wave W2-status -> W1-operational,AHU-J1-3,723119,multi-state-input 19,Application Mode Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J1-3,723119,multi-state-input 25,Cool Output 1,W2-status,900,900
wave W2-status -> W1-operational,AHU-J1-3,723119,multi-state-input 26,Cool Output 2,W2-status,900,900
wave W2-status -> W1-operational,AHU-J1-3,723119,multi-state-input 27,Cool Output 3,W2-status,900,900
wave W2-status -> W1-operational,AHU-J1-3,723119,multi-state-input 35,Primary Filter Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J1-3,723119,multi-state-input 41,Supply Fan Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J2-3,723120,multi-state-input 19,Application Mode Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J2-3,723120,multi-state-input 25,Cool Output 1,W2-status,900,900
wave W2-status -> W1-operational,AHU-J2-3,723120,multi-state-input 26,Cool Output 2,W2-status,900,900
wave W2-status -> W1-operational,AHU-J2-3,723120,multi-state-input 27,Cool Output 3,W2-status,900,900
wave W2-status -> W1-operational,AHU-J2-3,723120,multi-state-input 35,Primary Filter Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J2-3,723120,multi-state-input 41,Supply Fan Status,W2-status,300,300
wave W2-status -> W1-operational,AHU J1-2,723122,multi-state-input 19,Application Mode Status,W2-status,300,300
wave W2-status -> W1-operational,AHU J1-2,723122,multi-state-input 25,Cool Output 1,W2-status,900,900
wave W2-status -> W1-operational,AHU J1-2,723122,multi-state-input 26,Cool Output 2,W2-status,900,900
wave W2-status -> W1-operational,AHU J1-2,723122,multi-state-input 27,Cool Output 3,W2-status,900,900
wave W2-status -> W1-operational,AHU J1-2,723122,multi-state-input 35,Primary Filter Status,W2-status,300,300
wave W2-status -> W1-operational,AHU J1-2,723122,multi-state-input 41,Supply Fan Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J2-2,723123,multi-state-input 19,Application Mode Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J2-2,723123,multi-state-input 25,Cool Output 1,W2-status,900,900
wave W2-status -> W1-operational,AHU-J2-2,723123,multi-state-input 26,Cool Output 2,W2-status,900,900
wave W2-status -> W1-operational,AHU-J2-2,723123,multi-state-input 27,Cool Output 3,W2-status,900,900
wave W2-status -> W1-operational,AHU-J2-2,723123,multi-state-input 35,Primary Filter Status,W2-status,300,300
wave W2-status -> W1-operational,AHU-J2-2,723123,multi-state-input 41,Supply Fan Status,W2-status,300,300
